"","Age","NumbLines","CustTime","MthIncome","BillAmount","TimeCurAdrr","Region","CableTV","AutDebt","Churn"
"1",51,4,27.3,6384,733.05,6.716,"A","YES","NO","NO"
"2",36,2,16.8,6744,650.7,4.14,"A","YES","NO","NO"
"3",35,1,15.75,5832,800.55,4.416,"A","NO","NO","NO"
"4",44,1,16.8,6480,872.1,5.796,"C","YES","YES","YES"
"5",40,1,23.1,7908,1598.4,5.704,"C","YES","NO","NO"
"6",52,1,31.5,7644,855.9,2.024,"A","NO","NO","NO"
"7",28,2,16.8,5652,440.1,3.956,"D","YES","NO","YES"
"8",34,4,21,10452,2251.8,3.772,"B","NO","YES","YES"
"9",38,4,16.8,7344,197.1,5.152,"D","YES","NO","NO"
"10",27,1,18.9,6720,1718.55,4.416,"D","NO","YES","NO"
"11",45,3,30.45,12096,967.95,3.772,"A","YES","NO","NO"
"12",35,1,12.6,5664,602.1,6.348,"A","NO","NO","NO"
"13",30,1,22.05,7008,248.4,6.624,"A","YES","YES","NO"
"14",28,1,15.75,7140,832.95,3.864,"A","YES","NO","YES"
"15",44,2,35.7,16260,1845.45,4.508,"A","YES","YES","NO"
"16",30,1,24.15,6900,1155.6,7.452,"B","NO","NO","NO"
"17",39,2,21,8244,799.2,5.612,"D","NO","YES","NO"
"18",39,2,22.05,8256,800.55,2.576,"A","NO","NO","NO"
"19",45,4,18.9,8592,384.75,7.36,"A","YES","YES","NO"
"20",29,2,14.7,5976,419.85,5.428,"A","NO","YES","NO"
"21",40,2,26.25,10560,1728,0.828,"A","NO","YES","NO"
"22",31,2,16.8,6048,697.95,2.116,"C","YES","NO","NO"
"23",33,1,26.25,7728,1162.35,6.716,"A","YES","YES","NO"
"24",33,1,25.2,7668,279.45,3.956,"C","YES","YES","NO"
"25",39,2,30.45,12960,926.1,4.232,"A","NO","NO","NO"
"26",29,2,13.65,5076,143.1,4.416,"B","YES","NO","NO"
"27",49,1,28.35,9012,371.25,6.072,"A","NO","YES","NO"
"28",46,4,29.4,11304,1135.35,5.152,"C","NO","YES","NO"
"29",44,1,24.15,7680,180.9,5.704,"B","YES","NO","NO"
"30",54,1,23.1,7224,279.45,5.98,"D","YES","NO","NO"
"31",31,1,24.15,7260,197.1,4.508,"A","YES","YES","NO"
"32",26,2,13.65,7272,965.25,4.6,"A","YES","NO","NO"
"33",54,4,16.8,6852,163.35,3.496,"D","NO","YES","NO"
"34",35,5,16.8,7836,456.3,4.324,"C","YES","YES","YES"
"35",37,1,12.6,6516,781.65,4.784,"B","YES","NO","YES"
"36",34,3,16.8,7692,1668.6,4.784,"D","YES","YES","YES"
"37",47,1,42,22524,3022.65,5.152,"B","YES","NO","NO"
"38",49,2,40.95,20796,569.7,3.772,"C","YES","NO","NO"
"39",29,2,18.9,6900,406.35,4.416,"C","NO","NO","YES"
"40",44,1,30.45,11928,928.8,4.14,"A","YES","YES","NO"
"41",32,1,15.75,6324,788.4,5.244,"A","YES","NO","NO"
"42",51,1,12.6,5820,95.85,4.232,"D","YES","YES","NO"
"43",29,2,14.7,7380,1328.4,1.84,"C","YES","NO","NO"
"44",34,4,13.65,7968,309.15,5.428,"D","NO","YES","NO"
"45",45,1,24.15,8340,1043.55,6.44,"A","YES","NO","NO"
"46",35,2,19.95,5892,1051.65,4.876,"A","YES","YES","YES"
"47",29,1,12.6,5196,989.55,1.84,"A","YES","NO","NO"
"48",36,1,16.8,7812,1744.2,0.368,"B","YES","NO","YES"
"49",29,4,14.7,9612,270,1.288,"A","YES","YES","YES"
"50",36,1,15.75,5988,1633.5,6.44,"C","YES","YES","NO"
"51",43,2,16.8,6780,1179.9,3.312,"B","YES","NO","YES"
"52",32,2,15.75,6492,606.15,5.336,"D","YES","NO","NO"
"53",38,1,32.55,11856,1394.55,7.268,"C","YES","YES","NO"
"54",40,1,24.15,8400,467.1,3.68,"A","YES","YES","NO"
"55",38,3,12.6,5628,54,6.992,"D","NO","YES","NO"
"56",44,1,26.25,7092,477.9,6.256,"C","NO","NO","NO"
"57",47,2,12.6,6528,908.55,4.784,"A","NO","NO","NO"
"58",41,1,17.85,7164,513,5.52,"A","NO","YES","NO"
"59",47,1,25.2,6864,675,2.944,"C","NO","NO","NO"
"60",37,1,29.4,9024,1858.95,6.624,"D","NO","NO","NO"
"61",37,2,15.75,6960,764.1,5.152,"B","YES","NO","NO"
"62",35,1,14.7,8856,726.3,4.508,"C","YES","YES","YES"
"63",32,1,26.25,9684,877.5,4.968,"C","YES","YES","NO"
"64",36,2,25.2,10236,1903.5,2.484,"C","YES","YES","YES"
"65",35,1,24.15,7536,1023.3,3.128,"C","YES","NO","NO"
"66",42,1,16.8,8088,1262.25,6.9,"C","NO","NO","NO"
"67",33,1,13.65,5868,70.2,4.14,"A","NO","NO","NO"
"68",46,1,30.45,12576,976.05,1.748,"A","YES","YES","NO"
"69",40,1,28.35,7692,820.8,2.944,"C","YES","NO","NO"
"70",34,4,19.95,6780,2520.45,5.52,"B","YES","NO","YES"
"71",43,2,16.8,6192,749.25,4.692,"B","YES","NO","YES"
"72",28,1,14.7,5772,1753.65,3.036,"D","YES","YES","YES"
"73",56,2,23.1,12300,1640.25,3.956,"A","YES","NO","NO"
"74",35,4,14.7,19044,2679.75,4.692,"A","YES","NO","NO"
"75",53,1,27.3,8184,1190.7,3.772,"A","NO","NO","NO"
